,Femme,Homme,Age1,Age2,Age3,Age4,Age5,Age6
16h57,1,0,0,1,0,0,0,0
16min,1,0,0,0,0,1,0,0
16min39,1,0,0,0,0,1,0,0
16nov,1,0,0,0,0,0,1,0
16octobre,1,0,0,0,0,1,0,0
17,87,20,17,19,7,11,14,39
170,5,1,0,1,0,1,4,0
17000,1,1,0,0,1,0,0,1
171,1,0,1,0,0,0,0,0
173,0,1,1,0,0,0,0,0
174,0,1,1,0,0,0,0,0
175,1,0,0,0,1,0,0,0
176,1,0,0,0,0,1,0,0
177,0,1,1,0,0,0,0,0
178,1,0,0,0,0,0,0,1
178km,1,0,1,0,0,0,0,0
179,1,0,0,0,1,0,0,0
1793,0,1,0,0,0,0,0,1
17ans,3,0,2,1,0,0,0,0
17h,95,30,13,27,13,22,23,27
17h00,1,1,0,1,0,0,0,1
17h05,0,1,0,0,0,0,1,0
17h08,1,0,0,0,0,1,0,0
17h10,3,2,1,2,0,0,2,0
17h13,1,0,0,1,0,0,0,0
17h14,1,0,0,1,0,0,0,0
17h15,21,2,0,2,4,12,4,1
17h16,1,0,0,0,0,0,1,0
17h20,1,0,0,1,0,0,0,0
17h21,0,1,0,0,1,0,0,0
17h25,3,0,1,2,0,0,0,0
17h30,39,11,12,12,4,6,8,8
17h35,1,4,4,1,0,0,0,0
17h40,2,0,1,1,0,0,0,0
17h41,1,0,0,0,0,1,0,0
17h45,11,8,1,2,6,4,3,3
17h50,4,1,1,0,2,2,0,0
17min,1,0,1,0,0,0,0,0
18,80,32,20,21,3,17,26,25
180,3,3,0,0,0,0,4,2
1800,0,1,0,0,1,0,0,0
182,1,0,0,0,0,0,0,1
1830,0,1,1,0,0,0,0,0
1850,1,0,0,0,0,0,1,0
1861,1,0,0,1,0,0,0,0
1877,1,0,1,0,0,0,0,0
188,1,0,0,0,0,0,0,1
1897,0,1,0,0,0,0,1,0
18ans,14,3,14,2,0,1,0,0
18e,1,0,0,0,0,1,0,0
18euros,1,0,0,0,0,1,0,0
18h,112,38,20,29,11,31,18,41
18h00,1,0,0,0,0,0,0,1
