AGE;ID_NUM_TEL;SEXE;NIVEAU_SUPERIEUR_CHOIX;TYPE_TELEPHONE;ABONNEMENT_ILLIMITE;TEMPS_UTILISATION_SMS;ENVOI_SMS_SEMAINE;UTILISATION_T9;DESTINATAIRE_AMIS;DESTINATAIRE_COLLEGUES;DESTINATAIRE_FAMILLE;DESTINATAIRE_COMPAGNON;DUREE_LECTURE
13;23;Femme;college;blackberry;oui;3 a 5;50 a 100;non;6;3;5;4;4,19
11;238;Homme;college;classique;oui;moins de 1;20 a 50;non;1;0;6;0;3,14
14;50;Homme;college;iphone;oui;3 a 5;plus de 100;non;6;0;5;0;4,19
16;349;Femme;lycee;autre;oui;3 a 5;50 a 100;non;6;2;3;0;2,10
17;108;Homme;lycee;iphone;oui;3 a 5;50 a 100;oui;6;5;4;0;6,29
16;282;Femme;lycee;iphone;oui;3 a 5;plus de 100;oui;6;0;2;6;2,10
11;272;Femme;college;blackberry;oui;1 a 3;plus de 100;non;6;2;1;1;2,10
13;250;Femme;college;blackberry;non;moins de 1;5 a 10;non;6;0;2;0;11,52
14;497;Homme;college;classique;non;1 a 3;20 a 50;non;6;0;1;6;2,10
16;68;Femme;lycee;classique;oui;3 a 5;50 a 100;non;6;0;3;0;2,10
17;157;Femme;lycee;blackberry;oui;3 a 5;50 a 100;non;6;0;5;0;2,10
17;481;Femme;lycee;iphone;oui;plus de 5;50 a 100;oui;6;0;5;0;3,14
16;327;Homme;lycee;iphone;oui;3 a 5;50 a 100;non;6;0;2;0;3,14
17;317;Homme;lycee;iphone;oui;3 a 5;plus de 100;oui;6;3;2;6;2,10
15;229;Homme;college;iphone;oui;1 a 3;50 a 100;oui;6;0;5;0;1,05
14;400;Femme;college;autre;oui;moins de 1;20 a 50;oui;6;2;4;5;3,14
16;152;Femme;lycee;iphone;oui;1 a 3;20 a 50;non;6;4;5;0;7,33
17;451;Femme;lycee;blackberry;oui;plus de 5;plus de 100;non;6;0;5;0;9,43
16;90;Femme;lycee;iphone;oui;1 a 3;20 a 50;non;5;0;1;0;6,29
14;237;Homme;college;iphone;non;1 a 3;plus de 100;non;6;6;3;0;6,29
12;307;Homme;college;iphone;oui;1 a 3;5 a 10;non;5;0;3;1;2,10
16;249;Homme;lycee;autre;non;1 a 3;50 a 100;non;5;0;1;0;4,19
15;45;Homme;lycee;blackberry;oui;1 a 3;20 a 50;non;5;0;1;0;1,05
13;375;Femme;college;iphone;oui;plus de 5;plus de 100;non;6;0;3;6;1,05
13;326;Femme;college;blackberry;oui;1 a 3;20 a 50;non;4;0;2;0;2,10
13;461;Femme;college;iphone;oui;1 a 3;plus de 100;non;4;0;3;0;1,05
12;335;Femme;college;iphone;oui;1 a 3;50 a 100;non;6;5;4;0;3,14
