,Femme,Homme,Age1
21h40pour,1,0,1
21h45,6,2,2
21h50,2,0,0
21h55,2,0,0
21h58,1,0,0
21heures,0,1,0
21jours,1,0,1
21max,1,0,0
21min,1,0,0
21pm,1,0,0
22,20,17,8
220,1,0,0
224,0,1,1
22ans,4,0,0
22aout,1,0,0
22cm,1,0,0
22h,31,15,8
22h05,1,0,0
22h10,2,1,0
22h12,1,0,0
22h15,6,1,0
22h20,1,1,1
22h30,17,4,8
22h30g,1,0,0
22h40,2,1,1
22h45,1,0,0
22hje,1,0,1
23,14,10,4
230,2,0,0
23000mui,1,0,0
230e,1,0,0
231,1,0,1
233,1,0,0
234,1,0,0
236,1,0,0
2362,1,0,0
2367,1,0,0
23e,1,0,0
23h,23,7,7
23h10,2,0,0
23h15,1,0,0
23h20,1,0,0
23h30,5,0,0
23h35,1,0,0
23h45,1,0,1
23h50,1,0,0
23h53,1,0,0
23heure,1,0,0
24,36,10,7
240,2,0,0
2411,1,0,0
249euros,1,0,0
24ans,2,0,0
24avril,1,0,0
24h,9,1,4
25,66,13,12
250,6,1,0
2500,1,1,0
250e,1,0,0
250euros,1,0,0
250g,1,0,0
2519,1,0,0
253,0,1,1
254,1,0,0
259,1,0,0
25ans,1,1,0
25décembre,1,0,0
25e,2,0,0
25m,1,0,0
25min,4,2,3
25pour,1,0,1
26,18,2,0
260,1,0,0
26ans,1,0,1
26au,1,0,0
26mois,1,0,1
26nov,1,0,0
26sec,0,1,1
27,18,11,5
270,0,1,0
2700,1,0,0
275,2,0,0
279euro,1,0,0
27ans,1,0,0
28,26,7,10
285714,0,1,1
28a,1,0,0
28kgs,1,0,1
28min,1,0,0
29,14,4,2
29e,1,0,0
2_3,1,0,0
2a,0,1,0
2a1,1,1,2
2ab,1,0,0
2aller,1,0,0
2américains,1,0,0
2ans,12,1,8
2bis,0,1,1
2bisous,1,0,1
2buts,0,1,0
2c2,0,2,2
2d,0,1,0
2dan,0,1,1
2demain,0,1,0
2dissert,1,0,0
2dm,1,0,0
2doigt,1,0,1
2e,23,4,1
2em,1,0,0
2eme,28,3,1
2ers,1,0,1
2exo,1,0,1
2filles,1,0,0
2finale,0,1,0
2foi,1,0,0
2fois,4,0,2
2h,94,35,31
2h15,3,0,0
2h20,1,0,0
2h28,1,0,0
2h30,13,7,4
2h45,0,1,0
2h50,1,0,0
2heur,1,0,1
2heure,1,1,2
2heures,3,2,0
2histoires,1,0,0
2iz,0,1,0
2j,7,0,0
2jour,1,0,1
2journées,1,0,0
2jours,5,4,1
2k11,0,1,0
2kg,1,3,1
2km,1,0,0
2l,1,0,0
2ligne,0,1,1
2m,0,2,1
2m1,12,2,11
2magasin,1,0,1
2main,5,1,4
2min,31,6,7
2minnutes,1,0,0
2minutes,3,1,0
2mn,6,1,4
2mois,9,1,1
2morceaux,0,1,0
2nd,4,1,2
2nde,8,0,4
2notes,1,0,1
2nuit,1,0,1
2nuits,1,0,0
2ou,1,0,1
2ou3,3,0,0
2page,1,1,2
2passes,0,1,0
2pc,2,0,0
2petit,1,0,1
2pied,1,0,0
2places,1,0,0
2premiers,1,0,0
2première,1,0,1
2pui,0,2,2
2puis,0,1,0
2r1,1,0,1
2rallye,1,0,0
2rdv,0,1,1
2rien,3,1,4
2route,1,0,0
2rue,0,1,1
2s,2,0,0
2samedi,2,0,2
2sec,0,2,2
2seconde,1,0,0
2secondes,1,0,1
2sem,1,0,0
2semaine,1,0,0
2semaines,5,3,2
2setde11a,0,1,1
2soir,3,0,0
2soirs,2,0,2
2style,1,0,1
2suit,1,0,0
2temp,1,0,0
2texto,1,0,0
2truc,1,0,1
2voitures,1,0,0
2vé,1,0,0
2x,1,0,0
2ème,22,7,12
30,151,58,35
300,12,5,3
3000,3,0,0
3000an,0,1,1
3000ans,0,1,1
300e,2,0,0
300euros,1,0,0
300g,1,0,0
300kg,1,0,0
300km,0,1,0
300kms,1,0,0
300ko,1,0,1
300pages,1,0,0
302,1,0,0
303,1,0,0
30afficher,0,1,0
30ans,1,0,0
30cts,0,1,0
30degres,1,0,0
30e,6,0,0
30euros,0,2,0
30miinutes,1,0,0
30min,23,12,14
30minutes,2,1,1
30mn,3,4,3
30munites,1,0,1
30novembre,1,0,0
30o,1,0,0
30p,1,0,0
30pages,2,0,0
30poux,1,0,0
30sec,2,0,0
30seconds,2,0,0
30ème,1,0,0
30écoles,1,0,0
31,19,4,10
314,1,0,0
3141,1,0,0
31e90,1,0,0
32,7,3,1
320e,1,0,0
32e,2,0,0
33,7,0,1
333,4,1,1
3333,3,0,0
33333333,1,0,0
3333333333,1,0,0
33cm,1,0,0
33km,1,0,1
34,10,2,3
34000,1,0,0
34500,1,0,0
3459,1,0,1
34800,0,1,0
34e,1,0,0
35,19,8,6
350,2,0,0
359,0,1,0
35euros,1,0,0
35h,3,0,0
35jrs,1,0,0
35min,1,0,0
36,13,4,1
360,3,0,2
36000,1,0,0
3615,3,0,0
3615ma,1,0,0
366euro,1,0,1
36mn,0,1,1
37,5,4,3
375,1,0,0
38,6,3,2
380,0,1,0
381e,1,0,0
38cm,1,0,0
39,9,3,2
394782832929,1,0,0
399e,1,0,0
39e,1,0,0
39pssp,0,1,1
3a2,0,1,1
3ans,6,0,0
3ans3mois,1,0,0
3aujourd,1,0,0
3autres,1,0,1
3b,0,1,1
3bisous,1,0,1
3bonne,0,1,1
3c,1,0,0
3c2,2,0,0
3c4,1,0,0
3cours,1,0,0
3d,7,5,1
3dans,1,0,0
3degre,1,0,0
3ds,1,0,0
3e,7,4,0
3em,1,0,0
3eme,17,1,4
3et,1,0,0
3euro,2,0,0
3euros,1,0,0
3f,0,1,1
3fille,1,0,1
3francaises,1,0,0
3g,5,0,0
3gs,2,1,0
3h,52,24,18
3h00,1,0,0
3h15,0,1,0
3h20,1,0,0
3h30,6,3,2
3h42,1,0,0
3h54,1,0,0
3heures,3,0,0
3hhhhh,1,0,0
3i,1,0,0
3j,5,0,0
3jours,5,1,3
3jr,1,0,0
3km,1,1,1
3l,1,0,0
3lignes,1,0,0
3m,0,1,1
3min,6,3,3
3minutes,2,0,0
3mm,1,0,0
3mn,1,0,0
3moi,1,0,1
3mois,8,0,4
3mousquetaires,1,0,0
3novembre,1,0,1
3o,2,0,0
3ou4,1,0,0
3p,1,0,0
3partiels,2,0,0
3pers,0,1,1
3plombs,1,0,0
3posters,2,0,0
3pts,0,2,0
3reprise,1,0,1
3samu,1,0,0
3semaine,2,0,2
3semaines,2,0,0
3series,0,1,0
3sm,1,0,1
3soirs,1,0,0
3vii,1,0,1
3vivmnt,1,0,0
3x,1,0,0
3y,0,2,2
3ème,10,4,4
3écoles,1,0,0
40,52,21,15
400,10,3,2
4000,0,1,1
400e,4,0,1
400m,0,2,2
400mots,2,0,0
400secondes,1,0,1
403,1,0,0
407,3,1,0
40aine,1,0,0
40deg,1,0,0
40dg,1,0,0
40min,6,2,3
40minutes,1,0,1
41,4,2,2
412,0,1,1
413,0,1,1
417e,1,0,0
417euro,1,0,0
42,12,4,7
420h,1,0,0
428571,0,1,1
42euro,1,0,0
43,3,2,0
430,1,0,0
431,1,0,0
431e25,1,0,0
44,3,3,3
4450,0,1,0
45,65,15,11
450,1,0,0
45000,1,0,0
452,0,1,1
45e,1,0,0
45min,3,2,3
45minutes,0,1,0
45mn,2,0,0
46,2,4,3
464h,1,0,1
465,1,0,0
46h,1,0,0
47,1,4,3
47h,1,0,0
48,5,1,1
485,1,0,0
48h,2,1,0
49,2,1,1
49765432321,1,0,0
49euros,1,0,0
4aire,1,0,0
4aisait,1,0,0
4am,1,0,0
4an,2,0,2
4ans,6,1,1
4as,0,1,0
4avec,1,0,0
4b,1,0,0
4cm5,1,0,0
4d,1,0,1
4e,3,0,0
4em,1,0,0
4eme,7,0,1
4et5heures,1,0,0
4euros,1,0,0
4fille,2,0,2
4go,1,2,0
4grosse,1,0,1
4h,64,28,23
4h10,0,1,0
4h30,5,1,0
4hdi,1,0,0
